Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Times Square<br>Manhattan,40.7581965201794,-73.9851200580596,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0064665/,Times Square,Additional Image on p96,Y,234,,Y
Fifth Ave. and 66th St.<br>Central Park<br>Manhattan,40.7687000000000,-73.9698000000000,Manhattan,Central Park,N/A,Film,http://imdb.com/title/tt0059448/,Central Park,,Y,51,,Y
Brooklyn Bridge,40.7064575206375,-73.9972758293151,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0100168/,Brooklyn Bridge,Image p225 not of brooklyn bridge,Y,,,Y
Subway ,40.7186072791303,-73.9883601665496,Manhattan,Lower East Side,The Subway,Film,http://imdb.com/title/tt0082783/,Subway ,needs to be reversed,Y,158,,Y
Grant's Tomb<br>Harlem<br>Manhattan,40.8127049032854,-73.9631044864654,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0102526/,Harlem,,N,,,N
MacDougal St.<br>West Village<br>Manhattan,40.7293645516419,-74.0010362863540,Manhattan,West Village,N/A,Film,http://imdb.com/title/tt0074963/,MacDougal Street,,Y, 76-77,,Y
Roosevelt Island Tramway<br>Manhattan,40.7583590557521,-73.9569461345672,Manhattan,Roosevelt Island,N/A,Film,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway,,Y,124,,Y
New York City Bus<br>Manhattan,40.7226892304649,-73.9889395236969,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,,,Y
Carmines<br>200 W. 44th St. <br>Manhattan,40.7573675825775,-73.9867079257965,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,,,Y
Grand Central Terminal<br>Midtown<br>Manhattan,40.7531089558720,-73.9769876003265,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0053125/,Grand Central Station,,Y,42,,N
Little Italy<br>Manhattan,40.7181356431236,-73.9979088306427,Manhattan,Lower East Side,N/A,Film,http://imdb.com/title/tt0041716/,"3 locations:
- Upper Bay
- Little Italy 
- Skating rink at Rockefeller Center",,Y,36-37,,Y
"Hoboken, New Jersey<br>View of Manhattan",40.7471269126642,-74.0249776840210,Manhattan,New York Harbor,N/A,Film,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey",,Y,40-41,,Y
Carnegie Deli<br>Seventh Ave. and W. 55th St.<br>Manhattan,40.7642000000000,-73.9810000000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0117247/,Carnegie Deli - 7th Avenue at 55th Street,,Y,244,,N
Near Bethesda Fountain<br>Central Park<br>Manhattan,40.7742612395281,-73.9705234766006,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0117247/,Central Park,,Y,147,,N
World Trade Center<br>Lower Manhattan,40.7129230295553,-74.0131491422653,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0102609/,World Trade Center,,Y,92,,N
Lower East Side<br>Manhattan,40.7205700000000,-73.9859530000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0311648/,Lower East Side,,N,,,Y
Rockefeller Center<br>600 Fifth Ave.<br>Manhattan,40.7576030000000,-73.9781010000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0067589/,Rockefeller Center,,N,,,Y
Dean and Deluca<br>SoHo<br>Manhattan,40.7253670000000,-73.9997020000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0387514/,"SoHo, Dean and Deluca",,Y,155,,N
E. 11th St. between Ave. A and Ave. B<br>East Village<br>Manhattan,40.7279579927492,-73.9806514978408,Manhattan,East Village,Historic Recreations,Film,http://www.imdb.com/title/tt0082970/,11th Street bet Avenue A and Avenue B,,Y,150,,Y
Winter Garden Theater<br>1634 Broadway<br>Manhattan,40.7615280000000,-73.9838020000000,Manhattan,Midtown,Chases,Film,http://www.imdb.com/title/tt0073620/,"Winter Garden Theater, Saks Fifth Avenue",,Y,86-87,,Y
Coney Island Boardwalk<br>Brooklyn,40.5722319682892,-73.9839559793472,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0180093/,Coney Island/Brighton Beach Boardwalk,poor quality,Y,134-135,,Y
Fifth Ave. and E. 62nd St.<br>Upper East Side<br>Manhattan,40.7661000000000,-73.9717000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0063522/,Phone Booth: Fifth Ave and 62nd Street,,Y,57,,Y
"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.7763900000000,-73.9760690000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",,Y,69,,Y
"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.7765605250179,-73.9761507511138,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",,Y,246,,Y
4th Ave. and 86th St.<br>Bay Ridge<br>Brooklyn,40.6228000000000,-74.0284000000000,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",Additional image p192,Y,115,,Y
Subway Car<br>Brooklyn,40.6260702046750,-73.9970237016677,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",,Y,115,,Y
Washington Square Park<br>West Village<br>Manhattan,40.7310718953207,-73.9992874860763,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0108065/,Washington Square Park,,Y,79,,Y
"Williamsburg Tenaments<br>Brooklyn
",40.7075798804205,-73.9652019739151,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0070666/,Williamsburgh teNaments,poor quality,Y,60,,Y
Kaufman Astoria Studios<br>Astoria<br>Queens,40.7575990000000,-73.9236710000000,Queens,Queens,N/A,TV,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios,poor quality,Y,265,,Y
Magnolia Bakery<br>401 Bleecker St.<br>Manhattan,40.7358034474271,-74.0050166845321,Manhattan,West Village,N/A,TV,http://www.imdb.com/title/tt0159206/,Magnolia Bakery: Bleeker Street,We have another photo,Y,267,,Y
MoMA<br>W. 53rd St.<br>Manhattan,40.7608458004581,-73.9764726161956,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0053270/,N/A,,Y,44,N,Y
Seventh Ave. and W. 42nd St.<br>Times Square<br>Manhattan,40.7560000000000,-73.9870000000000,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0067741/,7th avenue at 42nd Street,,Y,106,,N
New York County Courthouse<br>60 Centre St.<br>Lower Manhattan,40.7144510000000,-74.0023290000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0162650/,New York County Courthouse: 60 Centre St,slide,Y,214,,Y
McHales Pub<br>W. 46th and Eighth Ave.<br>Manhattan,40.7597405920739,-73.9875447750091,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0117628/,"McHales Pub, 46th and Columbus",poor quality,Y,243,,Y
Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.7799560000000,-73.9818810000000,Manhattan,Upper West Side,New York Landmarks,Film,http://www.imdb.com/title/tt0105414/,Ansonia Hotel - 30th Street bet 7th and 8th Aves,,Y,170,,Y
Central Park<br>Manhattan,40.7715068669966,-73.9690428972244,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0108149/,NEAR Fifth Ave & 70th St. in Central Park,,Y,146,,Y
Metropolitan Museum of Art<br>Fifth Ave. at 82nd St.,40.7790790856402,-73.9626109600067,Manhattan,Upper East Side,New York Landmarks,Film,http://www.imdb.com/title/tt0108149/,Metropolitan Museum of Art - Fifth Avenue at 82nd St,Additional Image on p5 of the book,Y,168,,N
"W. 47th St., near Pier 87<br>Manhattan",40.7646163731163,-73.9974367618560,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0117665/,"West 47th Street, near Pier 87",We have another photo,Y,151,,Y
