Film,Year,IMDB LINK,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Report to the Commissioner,1975,http://www.imdb.com/title/tt0073620/,ReporttotheComm4_ec,"Courtesy of Everett Collection, Inc.",Directed by,Milton Katselas,http://imdb.com/name/nm0441501/
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/,Requiemforadream2_pf,Courtesy of Photofest,Directed by,Darren Aronofsky,http://imdb.com/name/nm0004716/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,RosemarysBaby_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,RosemarysBaby3_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,RosemarysBaby2_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,SaturdayNightFever2_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,SaturdayNightFever_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/
Searching for Bobby Fischer,1993,http://www.imdb.com/title/tt0108065/,SearchingforBobby_pf,Courtesy of Photofest,Directed by,Steven Zaillian,http://imdb.com/name/nm0001873/
Serpico,1973,http://www.imdb.com/title/tt0070666/,Serpico_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
Sesame Street,1969-today,http://www.imdb.com/title/tt0063951/,SesameStreet_pf,Courtesy of Photofest,Created by,"Joan Ganz Cooney,(more)","http://imdb.com/name/nm0177760/,http://www.imdb.com/title/tt0063951/fullcredits#writers"
Sex and the City,1998-2004,http://www.imdb.com/title/tt0159206/,SexandtheCity3_ec,"Courtesy of Everett Collection, Inc.",Created by,"Darren Star,(more)","http://imdb.com/name/nm0823015/,http://www.imdb.com/title/tt0159206/fullcredits#writers"
Shadows,1959,http://imdb.com/title/tt0053270/,Shadows_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Cassavetes,http://imdb.com/name/nm0001023/
Shaft,1971,http://www.imdb.com/title/tt0067741/,,,Directed by,Gordon Parks,http://imdb.com/name/nm0662953/
Shaft,2000,http://www.imdb.com/title/tt0162650/,Shaft2000_pf,Courtesy of Photofest,Directed by,John Singleton,http://imdb.com/name/nm0005436/
She's the One,1996,http://www.imdb.com/title/tt0117628/,Shestheone_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/
Single White Female,1992,http://www.imdb.com/title/tt0105414/,SingleWhiteFemale_pf,Courtesy of Photofest,Directed by,Barbet Schroeder,http://imdb.com/name/nm0775447/
